County,min_date,max_date,avg_epa_reading
Atascosa,01/01/2023,12/31/2023,8.832121212121212
Bell,01/01/2023,12/31/2023,7.516363636363637
Bexar,01/01/2023,12/31/2023,8.968318965517241
Bowie,01/01/2023,12/31/2023,10.406542056074766
Brazoria,01/06/2023,12/26/2023,7.5125
Brazos,01/01/2023,12/31/2023,7.9933908045977
Brewster,01/01/2023,12/31/2023,6.678233438485805
Cameron,01/01/2023,12/31/2023,9.678059071729958
Culberson,01/03/2023,12/29/2023,4.4
Dallas,01/01/2023,12/31/2023,10.132421875
Denton,01/01/2023,12/31/2023,8.018591549295774
Ector,01/01/2023,12/31/2023,6.8532394366197185
El Paso,01/01/2023,12/31/2023,10.273396065012832
Galveston,01/01/2023,12/31/2023,9.738170347003155
Harris,01/01/2023,12/31/2023,10.818708609271523
Harrison,01/01/2023,12/31/2023,8.713881019830028
Hidalgo,01/01/2023,12/31/2023,9.292288557213931
Jefferson,01/01/2023,12/31/2023,9.908521560574949
Kaufman,01/01/2023,12/31/2023,7.874858757062146
Kleberg,01/02/2023,12/31/2023,9.28145896656535
Lubbock,01/01/2023,12/31/2023,5.311538461538462
Maverick,01/01/2023,12/31/2023,7.794242424242424
McLennan,01/01/2023,12/31/2023,10.553097345132743
Montgomery,01/01/2023,12/31/2023,10.328374655647382
Navarro,01/01/2023,12/31/2023,9.030914826498423
Nueces,01/01/2023,12/31/2023,9.055102040816326
Orange,01/01/2023,12/31/2023,8.96715976331361
Potter,01/01/2023,12/31/2023,5.6975
Tarrant,01/01/2023,12/31/2023,10.203777777777779
Travis,01/01/2023,12/31/2023,10.04424695977549
Webb,01/01/2023,12/31/2023,9.115714285714287
